



,,[10]
,[0], 1,2






,[1], 0,0






,[2], 0,0






,[3], 1,1






,[4], 0,0






,[5], 0,0






,[6], 1,1






,[7], 1,1






,[8], 1,1






,[9], 1,1






,[10], 1,1






,[11], 1,1






,[12], 1,1






,[13], 1,1






,[14], 1,1






,[15], 1,1






,[16], 1,1






,[17], 1,1






,[18], 1,1






,[19], 1,1






,[20], 1,1






,[21], 99,99






,[22], 99,99






,[23], 2,2






,[24], 0,0






,[25], 0,0






,[26], 99,99






,[27], 0,0






,[28], 2,2






,[29], 3,3






,[30], 99,99






,[31], 99,99






,[32], 1,3






,[33], 0,0






,[34], 0,0






,[35], 0,0






,[36], 0,0






,[37], 1,1






,[38], 0,0






,[39], 0,0






,[40], 99,99






,[41], 0,0






,[42], 0,0






,[43], 0,0






,[44], 0,0






,[45], 0,0






,[46], 0,0






,[47], 0,0






,[48], 0,0






,[49], 0,0






,[50], 0,0






,[51], 1,1






,[52], 99,99






,[53], 0,0






,[54], 0,0






,[55], 0,0






,[56], 99,99






,[57], 99,99






,[58], 99,99






,[59], 2,2






,[60], 1,1






,[61], 0,0






,[62], 0,0






,[63], 0,0






,[64], 99,99






,[65], 0,0






,[66], 1,1






,[67], 99,99






,[68], 1,1






,[69], 1,2






,[70], 0,0






,[71], 0,0






,[72], 0,0






,[73], 0,0






,[74], 0,0






,[75], 0,0






,[76], 0,0






,[77], 0,0






,[78], 0,0






,[79], 0,0






,[80], 0,0






,[81], 0,0






,[82], 0,0






,[83], 0,0






,[84], 0,0






,[85], 0,0






,[86], 0,0






